,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,행정동명,경도,위도
38595,자연과한의원,의료,병원,한의원,역삼1동,127.0289704,37.49881724
38678,유스타일9의원,의료,병원,일반병원,역삼1동,127.0276118,37.49893221
38719,로뎀신경정신과의원,의료,병원,내과/외과,삼성1동,127.0579374,37.50933284
38790,엠여성의원,의료,병원,내과/외과,삼성2동,127.0500924,37.50538647
38811,강남청아한의원,의료,병원,한의원,대치1동,127.0610261,37.49392233
38812,청담시카고치과,의료,병원,치과의원,논현2동,127.0401215,37.51648795
38833,서울바른치과,의료,병원,치과병원,논현2동,127.0405828,37.51668092
38921,디케이치과의원,의료,병원,치과의원,대치4동,127.052371,37.49780886
38972,강남인한의원,의료,병원,한의원,청담동,127.0491878,37.51963387
39015,연세봄이비인후과,의료,병원,내과/외과,논현2동,127.042832,37.51062606
39027,윌치과,의료,병원,치과의원,역삼1동,127.0363239,37.50127426
39053,아이언스안과의원,의료,병원,안과의원,역삼1동,127.0298722,37.49904991
39061,파란봄한의원,의료,병원,한의원,삼성2동,127.0422356,37.51569416
39085,바이란트치과,의료,병원,치과의원,삼성2동,127.049125,37.5049642
39106,최송림치과의원,의료,병원,치과의원,논현2동,127.0365693,37.51650408
39112,미화이트치과,의료,병원,치과의원,논현1동,127.0235025,37.51053092
39308,윤영석내과의원,의료,병원,내과/외과,대치1동,127.0561248,37.49069353
39462,함소아한의원,의료,병원,한의원,대치1동,127.0576941,37.4926974
39463,강남서울하정외과의원,의료,병원,내과/외과,도곡1동,127.0339324,37.48587369
39492,리뉴얼의원,의료,병원,일반병원,압구정동,127.0383789,37.52622316
39596,강남성심한의원,의료,병원,한의원,청담동,127.0462624,37.51838485
39663,늘서울치과의원,의료,병원,치과의원,논현2동,127.0357012,37.51627173
39688,수암한의원,의료,병원,한의원,일원본동,127.0796064,37.48285035
39730,이다듬치과의원,의료,병원,치과의원,신사동,127.0244334,37.52677556
39765,생명수한의원,의료,병원,한의원,일원1동,127.0816742,37.49127334
39799,뷰성형외과,의료,병원,내과/외과,역삼1동,127.0280225,37.49865626
39816,연세정&김내과,의료,병원,내과/외과,도곡1동,127.0343467,37.48530942
39819,R플러스치과의원,의료,병원,치과의원,도곡2동,127.0448452,37.48578221
39918,마인츠이비인후과,의료,병원,내과/외과,역삼2동,127.0401333,37.50143142
39942,강동우에스의원,의료,병원,내과/외과,압구정동,127.0285058,37.52158304
